results in order
bfs
gbfs
astar missplaced
astar manhattan
    data order
    nodes expanded,search space,solution length

322,403,7
40,53,7
80,103,7
65,83,7

452,557,7
43,57,7
80,103,7
65,83,7

64,81,4
14,19,4
17,23,4
17,23,4

141,179,6
19,25,6
44,59,6
32,43,6

2952,3699,12
149,485,12
398,499,12
202,257,12

15025,18495,15
2370,2937,43
2601,3217,15
1824,2265,19

31329,37675,16
289,359,30
3475,4303,18
1501,1865,18

2998,3675,11
1187,1467,45
615,765,11
204,257,11

253,317,6
19,25,6
45,55,6
42,51,6

1109,1371,9
472,593,35
190,237,9
105,131,9
